Full,"_r
deg","_RAJ2000
""h:m:s""","_DEJ2000
""d:m:s""",HIP,RAhms,DEdms,"Vmag
mag","RAICRS
deg","DEICRS
deg","Plx
mas","pmRA
mas/yr","pmDE
mas/yr","e_Plx
mas","B-V
mag",Notes,"_RA.icrs
deg","_DE.icrs
deg"
1,0.037568,08 51 29.9084518,11 47 16.827743,43491,08 51 29.91,11 47 16.9,9.69,132.8746322,11.78802421,-1.21,-5.51,-6.79,1.88,1.35,,132.8746186,11.78800771
2,0.075805,08 51 11.7805748,11 45 22.104571,43465,08 51 11.79,11 45 22.2,10.03,132.7991048,11.75615394,1.05,-7.67,-5.67,1.96,-0.07,,132.7990857,11.75614016
3,0.131852,08 51 49.3548318,11 53 38.958708,43519,08 51 49.36,11 53 38.9,7.83,132.9556748,11.89414528,4.42,-11.94,4.08,1.26,1.102,,132.9556451,11.8941552
4,0.485681,08 50 18.6178948,11 24 28.248838,43387,08 50 18.62,11 24 28.3,8.75,132.5775796,11.40785983,1.97,-2.04,-5.32,1.43,1.166,,132.5775746,11.4078469
5,0.692144,08 51 56.3268527,11 08 09.250454,43530,08 51 56.32,11 08 09.4,7.47,132.9846691,11.13595397,4.58,10.54,-21.01,1.06,1.23,,132.9846952,11.1359029
6,0.990773,08 48 39.5359309,12 32 48.978332,43251,08 48 39.55,12 32 49.0,6.66,132.1647805,12.5469402,2.24,-19.07,-0.73,1.08,1.642,P,132.1647331,12.54693843
7,1.013451,08 48 44.8926536,12 35 45.580791,43262,08 48 44.91,12 35 45.7,7.87,132.1871441,12.59601389,3.89,-36.67,-7.91,1.14,1.19,,132.1870527,12.59599466
8,1.062194,08 54 47.4824337,11 09 21.468865,43756,08 54 47.54,11 09 22.0,10.05,133.6980934,11.15611648,25.81,-100.9,-62.91,2.14,1.209,,133.6978435,11.15596357
9,1.115863,08 47 07.8291201,11 25 10.827993,43130,08 47 07.82,11 25 10.9,7.65,131.7825938,11.41970271,0.92,11.12,-11.63,1.24,1.556,,131.7826213,11.41967444
10,1.125895,08 55 55.5481589,11 37 33.683561,43851,08 55 55.56,11 37 33.8,5.44,133.9814837,11.62605826,5.6,-13.33,-14.42,1.09,1.462,,133.9814507,11.62602321
11,1.129376,08 46 56.0180954,12 06 35.827869,43121,08 46 56.06,12 06 36.3,5.89,131.7335708,12.11007629,16.38,-65.2,-51.06,1.16,0.12,,131.7334087,12.10995219
12,1.177344,08 50 50.8290231,12 59 05.238916,43441,08 50 50.84,12 59 05.3,8.88,132.7118299,12.98481739,3.33,-16.96,-11.85,1.56,1.522,,132.7117876,12.98478859
13,1.220169,08 47 10.8985575,11 09 46.687955,43137,08 47 10.91,11 09 46.8,8.53,131.7954712,11.16298713,1.48,-24.43,-7.51,6.06,0.148,,131.7954107,11.16296888
14,1.2217,08 47 10.9933585,11 09 34.260954,43138,08 47 11.01,11 09 34.3,8.28,131.7958633,11.15953047,3.69,-23.25,-5.57,5.73,0.099,,131.7958057,11.15951693
15,1.272437,08 54 33.3461465,10 48 22.963514,43743,08 54 33.37,10 48 22.9,9.24,133.6390315,10.80637207,1.87,-36.07,2.75,1.49,0.181,,133.6389423,10.80637875
16,1.402007,08 57 04.6866362,11 38 49.140627,43948,08 57 04.71,11 38 51.9,10.6,134.269615,11.6477564,60.99,-35.21,-317.99,3.45,1.511,,134.2695277,11.64698351
17,1.404117,08 56 33.1074259,12 25 54.870953,43897,08 56 33.12,12 25 55.1,8.39,134.1380089,12.43196506,13.6,-24.63,-23.23,1.09,0.672,,134.1379476,12.4319086
18,1.439843,08 52 23.9405359,13 14 00.357739,43569,08 52 24.01,13 14 01.1,7.84,133.1000564,13.2336499,11.81,-121.82,-89.36,1.38,0.99,,133.0997522,13.23343271
19,1.540467,08 48 37.0420855,10 25 58.917849,43245,08 48 37.04,10 25 58.9,6.91,132.1543155,10.43301492,3.93,10.74,7.33,1.04,1.555,,132.154342,10.43303274
