#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-12-01T08:09:12 [V7.5.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-12-01T08:09:12	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-c=M67&-c.eq=J2000&-c.r=  3&-c.u=deg&-c.geom=r&-source=I/239/hip_main&-order=I&-out=HIP&-out=RAhms&-out=DEdms&-out=Vmag&-out=RAICRS&-out=DEICRS&-out=Plx&-out=pmRA&-out=pmDE&-out=e_Plx&-out=B-V&-out=Notes&HIPep=HIPep&Erratum=Erratum&-out=_RA.icrs&-out=_DE.icrs&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	-c=132.847920+11.815000,rd=3.	
#Constraint -bmark=POST

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	creator=ESA 1997	    First author or institution
#INFO	cites=1997HIP...C......0E	    Article or Data origin sources
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	    Dataset landing page
#INFO	publication_date=2021-11-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	_r	(F8.6)	Distance from center (132.84792000+11.81500000)[ICRS], at Epoch=J1991.25	[ucd=pos.angDistance]
#Column	_RAJ2000	(F14.10)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F14.10)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	RAhms	(A11)	Right ascension in h m s, ICRS (J1991.25) (H3)	[ucd=pos.eq.ra]
#Column	DEdms	(A11)	Declination in deg ' ", ICRS (J1991.25) (H4)	[ucd=pos.eq.dec]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	RAICRS	(F12.8)	? alpha, degrees (ICRS, Epoch=J1991.25) (H8)	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(F12.8)	? delta, degrees (ICRS, Epoch=J1991.25) (H9)	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	pmRA	(F8.2)	*? Proper motion mu_alpha.cos(delta), ICRS(H12)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	*? Proper motion mu_delta, ICRS (H13)	[ucd=pos.pm;pos.eq.dec]
#Column	e_Plx	(F6.2)	? Standard error in Plx (H16)	[ucd=stat.error;pos.parallax]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Notes	(A1)	[DGPWXYZ] Existence of notes (H70)	[ucd=meta.note]
#Column	_RA.icrs	(F12.8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F12.8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
_r;_RAJ2000;_DEJ2000;HIP;RAhms;DEdms;Vmag;RAICRS;DEICRS;Plx;pmRA;pmDE;e_Plx;B-V;Notes;_RA.icrs;_DE.icrs
deg;deg;deg; ; ; ;mag;deg;deg;mas;mas/yr;mas/yr;mas;mag; ;deg;deg
--------;--------------;--------------;------;-----------;-----------;-----;------------;------------;-------;--------;--------;------;------;-;------------;------------
0.037568;132.8746185491;+11.7880077065; 43491;08 51 29.91;+11 47 16.9; 9.69;132.87463223;+11.78802421;  -1.21;   -5.51;   -6.79;  1.88; 1.350; ;132.87461855;+11.78800771
0.075805;132.7990857282;+11.7561401587; 43465;08 51 11.79;+11 45 22.2;10.03;132.79910477;+11.75615394;   1.05;   -7.67;   -5.67;  1.96;-0.070; ;132.79908573;+11.75614016
0.131852;132.9556451324;+11.8941551967; 43519;08 51 49.36;+11 53 38.9; 7.83;132.95567479;+11.89414528;   4.42;  -11.94;    4.08;  1.26; 1.102; ;132.95564513;+11.89415520
0.485681;132.5775745617;+11.4078468994; 43387;08 50 18.62;+11 24 28.3; 8.75;132.57757962;+11.40785983;   1.97;   -2.04;   -5.32;  1.43; 1.166; ;132.57757456;+11.40784690
0.692144;132.9846952197;+11.1359029040; 43530;08 51 56.32;+11 08 09.4; 7.47;132.98466911;+11.13595397;   4.58;   10.54;  -21.01;  1.06; 1.230; ;132.98469522;+11.13590290
0.990773;132.1647330453;+12.5469384257; 43251;08 48 39.55;+12 32 49.0; 6.66;132.16478053;+12.54694020;   2.24;  -19.07;   -0.73;  1.08; 1.642;P;132.16473305;+12.54693843
1.013451;132.1870527235;+12.5959946643; 43262;08 48 44.91;+12 35 45.7; 7.87;132.18714405;+12.59601389;   3.89;  -36.67;   -7.91;  1.14; 1.190; ;132.18705272;+12.59599466
1.062194;133.6978434736;+11.1559635736; 43756;08 54 47.54;+11 09 22.0;10.05;133.69809344;+11.15611648;  25.81; -100.90;  -62.91;  2.14; 1.209; ;133.69784347;+11.15596357
1.115863;131.7826213336;+11.4196744426; 43130;08 47 07.82;+11 25 10.9; 7.65;131.78259376;+11.41970271;   0.92;   11.12;  -11.63;  1.24; 1.556; ;131.78262133;+11.41967444
1.125895;133.9814506621;+11.6260232114; 43851;08 55 55.56;+11 37 33.8; 5.44;133.98148374;+11.62605826;   5.60;  -13.33;  -14.42;  1.09; 1.462; ;133.98145066;+11.62602321
1.129376;131.7334087310;+12.1099521858; 43121;08 46 56.06;+12 06 36.3; 5.89;131.73357081;+12.11007629;  16.38;  -65.20;  -51.06;  1.16; 0.120; ;131.73340873;+12.10995219
1.177344;132.7117875961;+12.9847885879; 43441;08 50 50.84;+12 59 05.3; 8.88;132.71182990;+12.98481739;   3.33;  -16.96;  -11.85;  1.56; 1.522; ;132.71178760;+12.98478859
1.220169;131.7954106565;+11.1629688765; 43137;08 47 10.91;+11 09 46.8; 8.53;131.79547118;+11.16298713;   1.48;  -24.43;   -7.51;  6.06; 0.148; ;131.79541066;+11.16296888
1.221700;131.7958056605;+11.1595169318; 43138;08 47 11.01;+11 09 34.3; 8.28;131.79586326;+11.15953047;   3.69;  -23.25;   -5.57;  5.73; 0.099; ;131.79580566;+11.15951693
1.272437;133.6389422771;+10.8063787540; 43743;08 54 33.37;+10 48 22.9; 9.24;133.63903153;+10.80637207;   1.87;  -36.07;    2.75;  1.49; 0.181; ;133.63894228;+10.80637875
1.402007;134.2695276510;+11.6469835076; 43948;08 57 04.71;+11 38 51.9;10.60;134.26961503;+11.64775640;  60.99;  -35.21; -317.99;  3.45; 1.511; ;134.26952765;+11.64698351
1.404117;134.1379476080;+12.4319085982; 43897;08 56 33.12;+12 25 55.1; 8.39;134.13800891;+12.43196506;  13.60;  -24.63;  -23.23;  1.09; 0.672; ;134.13794761;+12.43190860
1.439843;133.0997522327;+13.2334327054; 43569;08 52 24.01;+13 14 01.1; 7.84;133.10005640;+13.23364990;  11.81; -121.82;  -89.36;  1.38; 0.990; ;133.09975223;+13.23343271
1.540467;132.1543420230;+10.4330327360; 43245;08 48 37.04;+10 25 58.9; 6.91;132.15431548;+10.43301492;   3.93;   10.74;    7.33;  1.04; 1.555; ;132.15434202;+10.43303274
1.618772;131.3130866833;+12.4221178760; 42945;08 45 15.14;+12 25 19.7; 9.47;131.31310077;+12.42212631;  -0.29;   -5.66;   -3.47;  1.76; 0.915; ;131.31308668;+12.42211788
1.666004;134.4204047239;+12.4569390994; 44008;08 57 40.91;+12 27 24.9; 9.04;134.42044119;+12.45692928;   4.27;  -14.65;    4.04;  1.34; 1.412; ;134.42040472;+12.45693910
1.721849;133.2862996146;+10.1477672615; 43631;08 53 08.71;+10 08 52.1; 8.62;133.28629638;+10.14779339;   1.54;    1.31;  -10.75;  1.38; 0.864; ;133.28629961;+10.14776726
