Full,"_r
deg","_RAJ2000
""h:m:s""","_DEJ2000
""d:m:s""",HIP,RAhms,DEdms,"Vmag
mag","RAICRS
deg","DEICRS
deg","Plx
mas","pmRA
mas/yr","pmDE
mas/yr","e_Plx
mas","B-V
mag",Notes,"_RA.icrs
deg","_DE.icrs
deg"
1,0.207367,03 47 29.0765218,24 06 18.493735,17702,03 47 29.06,24 06 18.9,2.85,56.87110065,24.10524193,8.87,19.35,-43.11,0.99,-0.086,,56.87115217,24.10513715
2,0.224477,03 47 29.4532516,24 17 18.037107,17704,03 47 29.44,24 17 18.4,6.83,56.87267431,24.28845287,9.05,17.84,-44.94,0.97,0.066,,56.87272188,24.28834364
3,0.240076,03 46 19.5738364,23 56 54.090089,17608,03 46 19.56,23 56 54.5,4.14,56.58150135,23.94846207,9.08,21.17,-42.67,1.04,-0.051,,56.58155765,23.94835836
4,0.264251,03 45 49.6066352,24 22 03.894643,17573,03 45 49.59,24 22 04.3,3.87,56.45663804,24.36785796,9.06,21.09,-45.03,1.03,-0.063,,56.45669431,24.36774851
5,0.351671,03 46 59.3972104,24 31 12.445499,17664,03 46 59.38,24 31 12.8,6.83,56.74743102,24.52023417,6.66,21.47,-45.43,0.99,0.021,,56.74748838,24.52012375
6,0.374467,03 46 02.9003493,24 31 40.432915,17588,03 46 02.89,24 31 40.8,6.43,56.51203181,24.5280059,9.21,19.83,-44.38,0.92,-0.02,,56.51208479,24.52789803
7,0.406202,03 44 52.5373190,24 06 48.021190,17499,03 44 52.52,24 06 48.4,3.72,56.21884811,24.1134484,8.8,21.55,-44.92,0.89,-0.105,,56.2189055,24.11333922
8,0.408742,03 47 20.9691327,23 48 12.049158,17692,03 47 20.96,23 48 12.4,6.99,56.83731884,23.80345386,8.35,19.78,-43.97,1,0.03,,56.83737139,23.80334699
9,0.411221,03 45 54.4763347,24 33 16.239708,17579,03 45 54.46,24 33 16.6,5.76,56.47693278,24.55462128,8.43,19.44,-45.36,0.89,-0.036,,56.47698473,24.55451103
10,0.431821,03 44 48.2154117,24 17 22.092632,17489,03 44 48.20,24 17 22.5,5.45,56.20084227,24.28957712,9.75,20.73,-44,1.05,-0.034,,56.20089755,24.28947018
11,0.434892,03 45 12.4945035,24 28 02.199381,17531,03 45 12.48,24 28 02.6,4.3,56.30200876,24.46737879,8.75,19.35,-41.63,1.08,-0.11,,56.30206043,24.46727761
12,0.457559,03 48 30.0952032,24 20 43.885500,17791,03 48 30.08,24 20 44.3,6.96,57.12534946,24.34562875,6.9,17.7,-43.2,0.99,0.128,,57.12539668,24.34552375
13,0.475252,03 47 17.1425004,23 43 36.304313,17684,03 47 17.16,23 43 36.5,6.98,56.82151746,23.72681291,16.1,-34.04,-25.39,1.09,0.542,,56.82142708,23.7267512
14,0.583907,03 49 11.2160430,24 08 12.163365,17851,03 49 11.20,24 08 12.6,5.05,57.29668368,24.13682565,8.42,18.71,-46.74,0.86,-0.082,,57.29673351,24.13671205
15,0.590323,03 49 09.7425571,24 03 12.295707,17847,03 49 09.73,24 03 12.7,3.62,57.29054669,24.05352412,8.57,17.77,-44.7,1.03,-0.07,,57.29059399,24.05341547
16,0.618396,03 48 56.9410623,23 51 25.686810,17832,03 48 56.91,23 51 26.2,6.47,57.23712973,23.85727243,13.44,46.92,-56.45,0.97,0.377,,57.23725443,23.85713523
17,0.654194,03 49 21.7497722,24 22 51.441050,17862,03 49 21.74,24 22 51.8,6.62,57.34057511,24.38106408,8.02,18.34,-44.53,0.91,-0.027,,57.34062405,24.38095585
18,0.741169,03 45 09.7390509,24 50 21.336032,17527,03 45 09.73,24 50 21.7,5.66,56.29052841,24.83937337,8.87,19.03,-46.64,0.89,-0.064,,56.29057938,24.83926001
19,0.829517,03 49 58.0550834,23 50 55.304141,17923,03 49 58.04,50 55.7,6.73,57.49184638,23.84880339,6.3,18.74,-44.35,1.46,0.063,G,57.49189618,23.84869559
20,0.846373,03 49 43.5303005,23 42 42.678278,17900,03 49 43.52,23 42 43.1,6.17,57.43133245,23.71196331,8.58,16.5,-44.53,0.93,-0.046,,57.43137625,23.71185508
21,0.85217,03 48 20.8163899,23 25 16.499280,17776,03 48 20.80,23 25 16.9,5.44,57.08668426,23.42136355,9.64,19.14,-46.8,0.91,-0.067,,57.08673496,23.4212498
22,0.855264,03 43 41.5347967,23 38 56.941375,17401,03 43 41.52,23 38 57.3,7.93,55.92300763,23.64926,9.48,20.36,-45.1,1.11,0.347,,55.92306165,23.64915038
23,0.877143,03 48 06.5406037,24 59 18.299507,17759,03 48 06.56,24 59 18.5,6.44,57.02732709,24.98848495,4.42,-27.81,-28.15,0.94,1.701,,57.02725252,24.98841653
24,0.991808,03 50 52.4270962,23 57 41.290408,17999,03 50 52.42,23 57 41.7,6.95,57.71840155,23.96158078,9.83,16.8,-45.76,1,0.078,,57.71844623,23.96146956
