#Column	_r	(F8.6)	Distance from center (056.65833000+24.17806000)[ICRS], at Epoch=J1991.25	[ucd=pos.angDistance]
#Column	_RAJ2000	(F14.10)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F14.10)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	RAhms	(A11)	Right ascension in h m s, ICRS (J1991.25) (H3)	[ucd=pos.eq.ra]
#Column	DEdms	(A11)	Declination in deg ' ", ICRS (J1991.25) (H4)	[ucd=pos.eq.dec]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	RAICRS	(F12.8)	? alpha, degrees (ICRS, Epoch=J1991.25) (H8)	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(F12.8)	? delta, degrees (ICRS, Epoch=J1991.25) (H9)	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	pmRA	(F8.2)	*? Proper motion mu_alpha.cos(delta), ICRS(H12)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	*? Proper motion mu_delta, ICRS (H13)	[ucd=pos.pm;pos.eq.dec]
#Column	e_Plx	(F6.2)	? Standard error in Plx (H16)	[ucd=stat.error;pos.parallax]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Notes	(A1)	[DGPWXYZ] Existence of notes (H70)	[ucd=meta.note]
#Column	_RA.icrs	(F12.8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F12.8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
_r;_RAJ2000;_DEJ2000;HIP;RAhms;DEdms;Vmag;RAICRS;DEICRS;Plx;pmRA;pmDE;e_Plx;B-V;Notes;_RA.icrs;_DE.icrs
deg;deg;deg; ; ; ;mag;deg;deg;mas;mas/yr;mas/yr;mas;mag; ;deg;deg
--------;--------------;--------------;------;-----------;-----------;-----;------------;------------;-------;--------;--------;------;------;-;------------;------------
0.207367;056.8711521743;+24.1051371487; 17702;03 47 29.06;+24 06 18.9; 2.85;056.87110065;+24.10524193;   8.87;   19.35;  -43.11;  0.99;-0.086; ;056.87115217;+24.10513715
0.224477;056.8727218818;+24.2883436408; 17704;03 47 29.44;+24 17 18.4; 6.83;056.87267431;+24.28845287;   9.05;   17.84;  -44.94;  0.97; 0.066; ;056.87272188;+24.28834364
0.240076;056.5815576518;+23.9483583582; 17608;03 46 19.56;+23 56 54.5; 4.14;056.58150135;+23.94846207;   9.08;   21.17;  -42.67;  1.04;-0.051; ;056.58155765;+23.94835836
0.264251;056.4566943135;+24.3677485121; 17573;03 45 49.59;+24 22 04.3; 3.87;056.45663804;+24.36785796;   9.06;   21.09;  -45.03;  1.03;-0.063; ;056.45669431;+24.36774851
0.351671;056.7474883767;+24.5201237499; 17664;03 46 59.38;+24 31 12.8; 6.83;056.74743102;+24.52023417;   6.66;   21.47;  -45.43;  0.99; 0.021; ;056.74748838;+24.52012375
0.374467;056.5120847888;+24.5278980319; 17588;03 46 02.89;+24 31 40.8; 6.43;056.51203181;+24.52800590;   9.21;   19.83;  -44.38;  0.92;-0.020; ;056.51208479;+24.52789803
0.406202;056.2189054960;+24.1133392194; 17499;03 44 52.52;+24 06 48.4; 3.72;056.21884811;+24.11344840;   8.80;   21.55;  -44.92;  0.89;-0.105; ;056.21890550;+24.11333922
0.408742;056.8373713862;+23.8033469885; 17692;03 47 20.96;+23 48 12.4; 6.99;056.83731884;+23.80345386;   8.35;   19.78;  -43.97;  1.00; 0.030; ;056.83737139;+23.80334699
0.411221;056.4769847278;+24.5545110300; 17579;03 45 54.46;+24 33 16.6; 5.76;056.47693278;+24.55462128;   8.43;   19.44;  -45.36;  0.89;-0.036; ;056.47698473;+24.55451103
0.431821;056.2008975488;+24.2894701755; 17489;03 44 48.20;+24 17 22.5; 5.45;056.20084227;+24.28957712;   9.75;   20.73;  -44.00;  1.05;-0.034; ;056.20089755;+24.28947018
0.434892;056.3020604315;+24.4672776060; 17531;03 45 12.48;+24 28 02.6; 4.30;056.30200876;+24.46737879;   8.75;   19.35;  -41.63;  1.08;-0.110; ;056.30206043;+24.46727761
0.457559;057.1253966798;+24.3455237500; 17791;03 48 30.08;+24 20 44.3; 6.96;057.12534946;+24.34562875;   6.90;   17.70;  -43.20;  0.99; 0.128; ;057.12539668;+24.34552375
0.475252;056.8214270849;+23.7267511982; 17684;03 47 17.16;+23 43 36.5; 6.98;056.82151746;+23.72681291;  16.10;  -34.04;  -25.39;  1.09; 0.542; ;056.82142708;+23.72675120
0.583907;057.2967335124;+24.1367120458; 17851;03 49 11.20;+24 08 12.6; 5.05;057.29668368;+24.13682565;   8.42;   18.71;  -46.74;  0.86;-0.082; ;057.29673351;+24.13671205
0.590323;057.2905939881;+24.0534154742; 17847;03 49 09.73;+24 03 12.7; 3.62;057.29054669;+24.05352412;   8.57;   17.77;  -44.70;  1.03;-0.070; ;057.29059399;+24.05341547
0.618396;057.2372544261;+23.8571352251; 17832;03 48 56.91;+23 51 26.2; 6.47;057.23712973;+23.85727243;  13.44;   46.92;  -56.45;  0.97; 0.377; ;057.23725443;+23.85713523
0.654194;057.3406240509;+24.3809558474; 17862;03 49 21.74;+24 22 51.8; 6.62;057.34057511;+24.38106408;   8.02;   18.34;  -44.53;  0.91;-0.027; ;057.34062405;+24.38095585
0.741169;056.2905793786;+24.8392600089; 17527;03 45 09.73;+24 50 21.7; 5.66;056.29052841;+24.83937337;   8.87;   19.03;  -46.64;  0.89;-0.064; ;056.29057938;+24.83926001
0.829517;057.4918961808;+23.8486955949; 17923;03 49 58.04;+23 50 55.7; 6.73;057.49184638;+23.84880339;   6.30;   18.74;  -44.35;  1.46; 0.063;G;057.49189618;+23.84869559
0.846373;057.4313762520;+23.7118550774; 17900;03 49 43.52;+23 42 43.1; 6.17;057.43133245;+23.71196331;   8.58;   16.50;  -44.53;  0.93;-0.046; ;057.43137625;+23.71185508
0.852170;057.0867349580;+23.4212498000; 17776;03 48 20.80;+23 25 16.9; 5.44;057.08668426;+23.42136355;   9.64;   19.14;  -46.80;  0.91;-0.067; ;057.08673496;+23.42124980
0.855264;055.9230616530;+23.6491503819; 17401;03 43 41.52;+23 38 57.3; 7.93;055.92300763;+23.64926000;   9.48;   20.36;  -45.10;  1.11; 0.347; ;055.92306165;+23.64915038
0.877143;057.0272525156;+24.9884165298; 17759;03 48 06.56;+24 59 18.5; 6.44;057.02732709;+24.98848495;   4.42;  -27.81;  -28.15;  0.94; 1.701; ;057.02725252;+24.98841653
0.991808;057.7184462343;+23.9614695578; 17999;03 50 52.42;+23 57 41.7; 6.95;057.71840155;+23.96158078;   9.83;   16.80;  -45.76;  1.00; 0.078; ;057.71844623;+23.96146956
0.996108;056.2134869552;+23.2689226376; 17497;03 44 51.22;+23 16 08.5; 8.98;056.21342687;+23.26902878;   9.76;   22.71;  -43.67;  1.29; 0.403; ;056.21348696;+23.26892264
1.045089;057.7629744006;+23.9036545313; 18018;03 51 03.02;+23 54 13.6;10.17;057.76257314;+23.90376782;  24.72;  150.93;  -46.61;  4.62; 1.160; ;057.76297440;+23.90365453
1.047762;056.4533975689;+23.1471487746; 17572;03 45 48.80;+23 08 50.1; 6.85;056.45334190;+23.14725691;   9.68;   21.06;  -44.49;  1.03; 0.060; ;056.45339757;+23.14714877
1.119560;055.9299872054;+25.0807092254; 17403;03 43 43.18;+25 04 51.0; 7.52;055.92992873;+25.08083909;  10.01;   21.79;  -53.43;  1.06; 0.141; ;055.92998721;+25.08070923
1.149477;057.8633943466;+24.5186506800; 18050;03 51 27.20;+24 31 07.5; 8.86;057.86334041;+24.51876093;   7.56;   20.19;  -45.36;  1.47; 0.380; ;057.86339435;+24.51865068
1.229467;056.4964117288;+25.3985896022; 17583;03 45 59.13;+25 23 55.3; 8.04;056.49636093;+25.39870238;   8.50;   18.88;  -46.40;  1.17; 0.213; ;056.49641173;+25.39858960
1.235491;056.9451469709;+25.3856943226; 17729;03 47 46.82;+25 23 08.9; 8.32;056.94509494;+25.38580834;   7.61;   19.34;  -46.91;  1.17; 0.262; ;056.94514697;+25.38569432
